song_file_name,singer_id,percentage,type
101000,4,100,singer
101001,7,100,singer
101002,9,100,singer
101003,2,100,singer
101004,10,100,singer
101005,19,100,singer
101006,20,100,singer
101007,21,100,singer
101008,22,100,singer
101009,23,100,singer
101010,25,100,singer
101013,27,100,singer
101014,28,100,singer
101015,30,100,singer
101016,325,100,singer
101017,32,100,singer
101018,34,100,singer
101019,35,100,singer
101020,36,100,singer
101021,40,100,singer
101022,41,100,singer
101024,42,100,singer
101026,45,100,singer
101028,49,100,singer
101029,51,100,singer
101032,486,100,singer
101033,56,100,singer
101034,283,100,singer
101035,60,100,singer
101036,62,100,singer
101037,58,100,singer
101039,70,100,singer
101040,75,100,singer
101041,76,100,singer
101042,77,100,singer
101043,78,100,singer
101044,80,100,singer
101045,82,100,singer
101046,518,100,singer
101047,86,100,singer
101048,88,100,singer
101049,89,100,singer
101050,90,100,singer
101051,91,100,singer
101052,92,100,singer
101054,427,100,singer
101056,103,100,singer
101057,104,100,singer
101058,332,100,singer
101059,106,100,singer
101060,110,100,singer
101061,111,100,singer
101062,462,100,singer
101063,117,100,singer
101064,120,100,singer
101065,121,100,singer
101067,128,100,singer
101068,129,100,singer
101069,131,100,singer
101070,133,100,singer
101071,134,100,singer
101072,136,100,singer
101073,138,100,singer
101076,143,100,singer
101077,144,100,singer
101078,145,100,singer
101079,146,100,singer
101080,147,100,singer
101081,10,100,singer
101082,150,100,singer
101084,158,100,singer
101086,163,100,singer
101088,165,100,singer
101089,166,100,singer
101091,169,100,singer
101092,170,100,singer
101093,173,100,singer
101095,174,100,singer
101096,175,100,singer
101097,177,100,singer
101101,181,100,singer
101103,185,100,singer
101104,186,100,singer
101105,189,100,singer
101106,401,100,singer
101107,190,100,singer
101108,195,100,singer
101109,197,100,singer
101110,198,100,singer
101112,200,100,singer
101113,201,100,singer
101114,202,100,singer
101115,203,100,singer
101117,1370,100,singer
101118,209,100,singer
101120,217,100,singer
101121,218,100,singer
101122,220,100,singer
101123,223,100,singer
101124,132,100,singer
101125,228,100,singer
101126,230,100,singer
101128,234,100,singer
101131,240,100,singer
101132,241,100,singer
101133,242,100,singer
101134,110,100,singer
101135,251,100,singer
101137,256,100,singer
101138,260,100,singer
101139,261,100,singer
101140,265,100,singer
101141,267,100,singer
101142,270,100,singer
101143,276,100,singer
101145,279,100,singer
101146,280,100,singer
101147,285,100,singer
101148,287,100,singer
101149,289,100,singer
101150,290,100,singer
101151,295,100,singer
101152,281,100,singer
101153,11,100,singer
101155,17,100,singer
101156,114,100,singer
101157,168,100,singer
101158,31,100,singer
101159,192,100,singer
101160,8,100,singer
101161,221,100,singer
101162,122,100,singer
