Mã quận/huyện,Tên quận/huyện,Mã tỉnh/thành
1,A Lưới,57
2,An Biên,33
3,An Dương,27
4,An Khê,21
5,An Lão,27
6,An Lão,9
7,An Minh,33
8,An Nhơn,9
9,An Phú,1
10,Ân Thi,31
11,Anh Sơn,41
12,Ayun Pa,21
13,Ba Bể,4
14,Ba Chẽ,49
15,Ba Đình,24
16,Ba Đồn,46
17,Bà Rịa,2
18,Bá Thước,56
19,Ba Tơ,48
20,Ba Tri,7
21,Ba Vì,24
22,Bác Ái,43
23,Bắc Bình,11
24,Bắc Giang,3
25,Bắc Hà,38
26,Bắc Kạn,4
27,Bạc Liêu,5
28,Bắc Mê,22
29,Bắc Ninh,6
30,Bắc Quang,22
31,Bắc Sơn,37
32,Bắc Tân Uyên,8
33,Bắc Trà My,47
34,Bắc Từ Liêm,24
35,Bắc Yên,52
36,Bạch Long Vĩ,27
37,Bạch Thông,4
38,Bảo Lạc,14
39,Bảo Lâm,14
40,Bảo Lâm,36
41,Bảo Lộc,36
42,Bảo Thắng,38
43,Bảo Yên,38
44,Bát Xát,38
45,Bàu Bàng,8
46,Bến Cát,8
47,Bến Cầu,53
48,Bến Lức,39
49,Bến Tre,7
50,Biên Hòa,19
51,Bỉm Sơn,56
52,Bình Chánh,29
53,Bình Đại,7
54,Bình Gia,37
55,Bình Giang,26
56,Bình Liêu,49
57,Bình Long,10
58,Bình Lục,23
59,Bình Minh,61
60,Bình Sơn,48
61,Bình Tân,29
62,Bình Tân,61
63,Bình Thạnh,29
64,Bình Thủy,13
65,Bình Xuyên,62
66,Bố Trạch,46
67,Bù Đăng,10
68,Bù Đốp,10
69,Bù Gia Mập,10
70,Buôn Đôn,16
71,Buôn Hồ,16
72,Buôn Ma Thuột,16
73,Cà Mau,12
74,Cái Bè,58
75,Cai Lậy,58
76,Cai Lậy,58
77,Cái Nước,12
78,Cái Răng,13
79,Cẩm Giàng,26
80,Cẩm Khê,44
81,Cam Lâm,32
82,Cẩm Lệ,15
83,Cam Lộ,50
84,Cẩm Mỹ,19
85,Cẩm Phả,49
86,Cam Ranh,32
87,Cẩm Thủy,56
88,Cẩm Xuyên,25
89,Cần Đước,39
90,Cần Giờ,29
91,Cần Giuộc,39
92,Can Lộc,25
93,Càng Long,59
94,Cao Bằng,14
95,Cao Lãnh,20
96,Cao Lãnh,20
97,Cao Lộc,37
98,Cao Phong,30
99,Cát Hải,27
100,Cát Tiên,36
101,Cầu Giấy,24
102,Cầu Kè,59
103,Cầu Ngang,59
104,Châu Đốc,1
105,Châu Đức,2
106,Châu Phú,1
107,Châu Thành,1
108,Châu Thành,7
109,Châu Thành,20
110,Châu Thành,28
111,Châu Thành,33
112,Châu Thành,39
113,Châu Thành,51
114,Châu Thành,53
115,Châu Thành,58
116,Châu Thành,59
117,Châu Thành A,28
118,Chi Lăng,37
119,Chí Linh,26
120,Chiêm Hóa,60
121,Chợ Đồn,4
122,Chợ Gạo,58
123,Chợ Lách,7
124,Chợ Mới,4
125,Chợ Mới,1
126,Chơn Thành,10
127,Chư Păh,21
128,Chư Prông,21
129,Chư Pưh,21
130,Chư Sê,21
131,Chương Mỹ,24
132,Cờ Đỏ,13
133,Cô Tô,49
134,Cồn Cỏ,50
135,Con Cuông,41
136,Côn Đảo,2
137,Củ Chi,29
138,Cư Jút,17
139,Cư Kuin,16
140,Cù Lao Dung,51
141,Cư M'gar,16
142,Cửa Lò,41
164,Dầu Tiếng,8
165,Dĩ An,8
166,Di Linh,36
171,Diễn Châu,41
172,Diên Khánh,32
202,Dương Kinh,27
203,Dương Minh Châu,53
204,Duy Tiên,23
205,Duy Xuyên,47
206,Duyên Hải,59
207,Duyên Hải,59
143,Đà Bắc,30
144,Đạ Huoai,36
145,Đa Krông,50
146,Đà Lạt,36
147,Đạ Tẻh,36
148,Đại Lộc,47
149,Đại Từ,55
150,Đắk Đoa,21
151,Đắk Glei,34
152,Đắk Glong,17
153,Đắk Hà,34
154,Đắk Mil,17
155,Đak Pơ,21
156,Đắk R'lấp,17
157,Đăk Song,17
158,Đăk Tô,34
159,Đầm Dơi,12
160,Đầm Hà,49
161,Đam Rông,36
162,Đan Phượng,24
163,Đất Đỏ,2
167,Điện Bàn,47
168,Điện Biên,18
169,Điện Biên Đông,18
170,Điện Biên Phủ,18
173,Định Hóa,55
174,Đình Lập,37
175,Định Quán,19
176,Đô Lương,41
177,Đồ Sơn,27
178,Đoan Hùng,44
179,Đơn Dương,36
180,Đông Anh,24
181,Đống Đa,24
182,Đông Giang,47
183,Đông Hà,50
184,Đông Hải,5
185,Đông Hòa,45
186,Đồng Hới,46
187,Đông Hưng,54
188,Đồng Hỷ,55
189,Đồng Phú,10
190,Đông Sơn,56
191,Đông Triều,49
192,Đồng Văn,22
193,Đồng Xoài,10
194,Đồng Xuân,45
195,Đức Cơ,21
196,Đức Hòa,39
197,Đức Huệ,39
198,Đức Linh,11
199,Đức Phổ,48
200,Đức Thọ,25
201,Đức Trọng,36
208,Ea H'leo,16
209,Ea Kar,16
210,Ea Súp,16
211,Gia Bình,6
212,Gia Lâm,24
213,Gia Lộc,26
214,Gia Nghĩa,17
215,Giá Rai,5
216,Gia Viễn,42
217,Giang Thành,33
218,Giao Thủy,40
219,Gio Linh,50
220,Giồng Riềng,33
221,Giồng Trôm,7
222,Gò Công,58
223,Gò Công Đông,58
224,Gò Công Tây,58
225,Gò Dầu,53
226,Gò Quao,33
227,Gò Vấp,29
228,Hà Đông,24
229,Hà Giang,22
230,Hạ Hòa,44
231,Hạ Lang,14
232,Hạ Long,49
233,Hà Quảng,14
234,Hà Tiên,33
235,Hà Tĩnh,25
236,Hà Trung,56
237,Hải An,27
238,Hai Bà Trưng,24
239,Hải Châu,15
240,Hải Dương,26
241,Hải Hà,49
242,Hải Hậu,40
243,Hải Lăng,50
244,Hàm Tân,11
245,Hàm Thuận Bắc,11
246,Hàm Thuận Nam,11
247,Hàm Yên,60
248,Hậu Lộc,56
249,Hiệp Đức,47
250,Hiệp Hòa,3
251,Hòa An,14
252,Hoà Bình,5
253,Hoà Bình,30
254,Hoa Lư,42
255,Hòa Thành,53
256,Hòa Vang,15
