"Mã tỉnh/thành","Tên tỉnh/thành"
1,"An Giang"
2,"Bà Rịa - Vũng Tàu"
3,"Bắc Giang"
4,"Bắc Kạn"
5,"Bạc Liêu"
6,"Bắc Ninh"
7,"Bến Tre"
8,"Bình Dương"
9,"Bình Định"
10,"Bình Phước"
11,"Bình Thuận"
12,"Cà Mau"
13,"Cần Thơ"
14,"Cao Bằng"
15,"Đà Nẵng"
16,"Đắk Lắk"
17,"Đắk Nông"
18,"Điện Biên"
19,"Đồng Nai"
20,"Đồng Tháp"
21,"Gia Lai"
22,"Hà Giang"
23,"Hà Nam"
24,"Hà Nội"
25,"Hà Tĩnh"
26,"Hải Dương"
27,"Hải Phòng"
28,"Hậu Giang"
29,"Hồ Chí Minh"
30,"Hoà Bình"
31,"Hưng Yên"
32,"Khánh Hòa"
33,"Kiên Giang"
34,"Kon Tum"
35,"Lai Châu"
36,"Lâm Đồng"
37,"Lạng Sơn"
38,"Lào Cai"
39,"Long An"
40,"Nam Định"
41,"Nghệ An"
42,"Ninh Bình"
43,"Ninh Thuận"
44,"Phú Thọ"
45,"Phú Yên"
46,"Quảng Bình"
47,"Quảng Nam"
48,"Quảng Ngãi"
49,"Quảng Ninh"
50,"Quảng Trị"
51,"Sóc Trăng"
52,"Sơn La"
53,"Tây Ninh"
54,"Thái Bình"
55,"Thái Nguyên"
56,"Thanh Hóa"
57,"Thừa Thiên - Huế"
58,"Tiền Giang"
59,"Trà Vinh"
60,"Tuyên Quang"
61,"Vĩnh Long"
62,"Vĩnh Phúc"
63,"Yên Bái"
