ID,name,sex,language,abbr,file_name,star,name_raw,freq
1,1088,3,1,1088,1800,1,1088,0
2,Ba Con Mèo,3,1,BCM,1801,1,Ba Con Meo,0
3,Ac&m,3,1,ACM,1802,1,Ac&m,0
4,Ái Vân,2,1,AV,1803,1,Ai Van,0
5,Anh Dũng,1,1,AD,1804,1,Anh Dung,0
6,Anh Kiệt,1,1,AK,1805,1,Anh Kiet,0
7,Anh Thư,2,1,AT,1806,1,Anh Thu,0
8,Anh Tú,1,1,AT,1807,1,Anh Tu,0
9,Axn,3,1,A,1808,1,Axn,0
10,Bằng Kiều,1,1,BK,1809,1,Bang Kieu,0
11,Bảo Hân,2,1,BH,1810,1,Bao Han,0
12,Bảo Phúc,1,1,BP,1811,1,Bao Phuc,0
13,Bảo Tuấn,1,1,BT,1812,1,Bao Tuan,0
14,Bảo Yến,2,1,BY,1813,1,Bao Yen,0
16,Bích Ngọc,2,1,BN,1815,1,Bich Ngoc,0
17,Bông Mai,2,1,BM,1816,1,Bong Mai,0
18,Bonneur Trinh,2,1,BT,1817,1,Bonneur Trinh,0
19,Bửu Trung,1,1,BT,1818,1,Buu Trung,0
20,Cẩm Ly,2,1,CL,1819,1,Cam Ly,0
21,Cẩm Vân,2,1,CV,1820,1,Cam Van,0
22,Cảnh Hàn,1,1,CH,1821,1,Canh Han,0
23,Cao Thái Sơn,1,1,CTS,1822,1,Cao Thai Son,0
24,Cát Tiên,2,1,CT,1823,1,Cat Tien,0
25,Châu Gia Kiệt,1,1,CGK,1824,1,Chau Gia Kiet,0
26,Châu Thanh,1,1,CT,1825,1,Chau Thanh,0
27,Chế Linh,1,1,CL,1826,1,Che Linh,0
28,Chế Thanh,1,1,CT,1827,1,Che Thanh,0
30,Chung Tử Lưu,1,1,CTL,1829,1,Chung Tu Luu,0
31,Công Thành,1,1,CT,1830,1,Cong Thanh,0
32,Đàm Vĩnh Hưng,1,1,DVH,1831,1,Dam Vinh Hung,0
33,Đan Huy,1,1,DH,1832,1,Dan Huy,0
34,Đan Trường,1,1,DT,1833,1,Dan Truong,0
35,Đăng Khôi,1,1,DK,1834,1,Dang Khoi,0
36,Đăng Minh,1,1,DM,1835,1,Dang Minh,0
37,Đặng Trọng Vũ,1,1,DTV,1836,1,Dang Trong Vu,0
38,Đặng Trường Phát,1,1,DTP,1837,1,Dang Truong Phat,0
39,Diễm Liên,2,1,DL,1838,1,Diem Lien,0
40,Diệp Thanh Thanh,2,1,DTT,1839,1,Diep Thanh Thanh,0
41,Đình Trí,1,1,DT,1840,1,Dinh Tri,0
42,Đình Văn,1,1,DV,1841,1,Dinh Van,0
43,Đoan Thy,2,1,DT,1842,1,Doan Thy,0
44,Đoan Trang,2,1,DT,1843,1,Doan Trang,0
45,Don Hồ,1,1,DH,1844,1,Don Ho,0
46,Đức Duy,1,1,DD,1845,1,Duc Duy,0
47,Đức Huy,1,1,DH,1846,1,Duc Huy,0
48,Đức Phương,1,1,DP,1847,1,Duc Phuong,0
