name,word_num,file_name,language,NewSong,freq,SongNameRaw,abbr
Again,1,141481,2,0,0,Again,141481
Alibaba,1,101115,1,0,0,Alibaba,101115
Aline,1,121288,1,0,0,Aline,121288
Alleluia,1,301014,1,0,0,Alleluia,301014
Always,1,141487,2,0,0,Always,141487
Always,1,141294,2,0,0,Always,141294
Angel,1,142140,2,0,0,Angel,142140
Angel,1,775660,1,1,0,Angel,775660
Anh,1,122306,1,0,0,Anh,122306
Anh (sc),1,102870,1,0,0,Anh (sc),102870
Anh (sc),1,772110,1,0,0,Anh (sc),772110
Balamos,1,101093,1,0,0,Balamos,101093
Bambino,1,111330,1,0,0,Bambino,111330
Bambino (lời việt),1,105752,1,0,0,Bambino (loi viet),105752
Bần,1,106294,1,0,0,Ban,106294
Bão,1,301069,1,0,0,Bao,301069
Bay (remix 2),1,771240,1,0,0,Bay (remix 2),771240
Biển,1,770400,1,0,0,Bien,770400
Bitch,1,141417,2,0,0,Bitch,141417
Boulevard,1,142025,2,0,0,Boulevard,142025
Bụi,1,122170,1,0,0,Bui,122170
Bước,1,121767,1,0,0,Buoc,121767
Buồn,1,500061,1,0,0,Buon,500061
Buồn,1,104493,1,0,0,Buon,104493
Buồn,1,106326,1,0,0,Buon,106326
Buồn,1,502223,1,0,0,Buon,502223
Buồn,1,770864,1,0,0,Buon,770864
Buồn (remix),1,111844,1,0,0,Buon (remix),111844
Buông,1,772170,1,0,0,Buong,772170
Casablanca,1,141424,2,0,0,Casablanca,141424
Casablanca (lời việt),1,104512,1,0,0,Casablanca (loi viet),104512
Chàng,1,101581,1,0,0,Chang,101581
Chàng (lui),1,121017,1,0,0,Chang (lui),121017
Chạy,1,775071,1,1,0,Chay,775071
Cherish,1,141299,2,0,0,Cherish,141299
Chiều,1,301216,1,0,0,Chieu,301216
Chiều,1,502164,1,0,0,Chieu,502164
Chờ,1,122153,1,0,0,Cho,122153
Chờ,1,771202,1,0,0,Cho,771202
Chờ,1,773261,1,0,0,Cho,773261
Chocolate,1,773673,1,0,0,Chocolate,773673
Chơi,1,773918,1,0,0,Choi,773918
Chuyện,1,770036,1,0,0,Chuyen,770036
Có,1,772416,1,0,0,Co,772416
Completely,1,142142,2,0,0,Completely,142142
Congratulations,1,141964,2,0,0,Congratulations,141964
Cry,1,101532,1,0,0,Cry,101532
Cry (thương về em),1,500171,1,0,0,Cry (thuong ve em),500171
Đau,1,500201,1,0,0,Dau,500201
Đau,1,773322,1,0,0,Dau,773322
Đau,1,773882,1,0,0,Dau,773882
Đêm,1,771694,1,0,0,Dem,771694
Đêm,1,106108,1,0,0,Dem,106108
Đêm,1,107218,1,0,0,Dem,107218
Đếm,1,107219,1,0,0,Dem,107219
Đến,1,122253,1,0,0,Den,122253
Desperado,1,141994,2,0,0,Desperado,141994
Diana (chacha),1,141209,2,0,0,Diana (chacha),141209
Dối,1,774694,1,1,0,Doi,774694
Đợi,1,770402,1,0,0,Doi,770402
Đợi,1,770611,1,0,0,Doi,770611
Đợi,1,301495,1,0,0,Doi,301495
Đợi (sc),1,121630,1,0,0,Doi (sc),121630
Đông,1,773432,1,0,0,Dong,773432
Drowning,1,142002,2,0,0,Drowning,142002
Đừng,1,106966,1,0,0,Dung,106966
Em,1,301561,1,0,0,Em,301561
Em,1,500255,1,0,0,Em,500255
Em,1,772974,1,0,0,Em,772974
Em,1,774177,1,0,0,Em,774177
Em,1,101938,1,0,0,Em,101938
Escapade,1,141409,2,0,0,Escapade,141409
Faith,1,141444,2,0,0,Faith,141444
Faithfull,1,141213,2,0,0,Faithfull,141213
Fantasy (sc),1,107208,1,0,0,Fantasy (sc),107208
Fascination,1,141307,2,0,0,Fascination,141307
Feelings,1,141446,2,0,0,Feelings,141446
Fernando,1,301614,1,0,0,Fernando,301614
Firemen (sc),1,774784,1,1,0,Firemen (sc),774784
Fly,1,772223,1,0,0,Fly,772223
Freedom,1,141452,2,0,0,Freedom,141452
Ghen,1,102780,1,0,0,Ghen,102780
Ghen,1,111670,1,0,0,Ghen,111670
Ghen,1,301620,1,0,0,Ghen,301620
Ghen,1,773028,1,0,0,Ghen,773028
Ghen,1,773403,1,0,0,Ghen,773403
Ghen (phương uyên),1,105923,1,0,0,Ghen (phuong uyen),105923
Ghép,1,772433,1,0,0,Ghep,772433
Giấu,1,771606,1,0,0,Giau,771606
Gió,1,112019,1,0,0,Gio,112019
Gió,1,774787,1,1,0,Gio,774787
Gọi,1,771445,1,0,0,Goi,771445
Googbye,1,142162,2,0,0,Googbye,142162
Greenfields,1,141427,2,0,0,Greenfields,141427
Guantanamera (rumba),1,141987,2,0,0,Guantanamera (rumba),141987
Gửi (sc),1,772709,1,0,0,Gui (sc),772709
Gương,1,770774,1,0,0,Guong,770774
Hallo,1,107001,1,0,0,Hallo,107001
Hận (remix),1,774158,1,0,0,Han (remix),774158
Happiness,1,141430,2,0,0,Happiness,141430
Hát,1,121564,1,0,0,Hat,121564
Hazard,1,141310,2,0,0,Hazard,141310
Hazard,1,141704,2,0,0,Hazard,141704
Heartache,1,141966,2,0,0,Heartache,141966
Heartlight,1,141702,2,0,0,Heartlight,141702
Heaven,1,141311,2,0,0,Heaven,141311
